128;0.2;-4.0;0.0320;LDPC
128;0.2;-3.5;0.0166;LDPC
128;0.2;-3.0;0.0054;LDPC
128;0.2;-2.5;0.0019;LDPC
128;0.2;-2.0;0.0008;LDPC
128;0.2;-1.5;0.0005;LDPC
128;0.2;-1.0;0.0001;LDPC
128;0.3;-2.0;0.0269;LDPC
128;0.3;-1.5;0.0269;LDPC
128;0.3;-1.0;0.0120;LDPC
128;0.3;-0.5;0.0048;LDPC
128;0.3;0.0;0.0019;LDPC
128;0.3;0.5;0.0016;LDPC
128;0.3;1.0;0.0006;LDPC
128;0.4;1.0;0.0140;LDPC
128;0.4;1.5;0.0081;LDPC
128;0.4;2.0;0.0056;LDPC
128;0.4;2.5;0.0035;LDPC
128;0.4;3.0;0.0016;LDPC
128;0.5;1.0;0.1013;LDPC
128;0.5;1.5;0.0528;LDPC
128;0.5;2.0;0.0383;LDPC
128;0.5;2.5;0.0339;LDPC
128;0.5;3.0;0.0107;LDPC
64;0.2;-4.0;0.0806;LDPC
64;0.2;-3.5;0.0444;LDPC
64;0.2;-3.0;0.0242;LDPC
64;0.2;-2.5;0.0131;LDPC
64;0.2;-2.0;0.0116;LDPC
64;0.2;-1.5;0.0051;LDPC
64;0.2;-1.0;0.0030;LDPC
64;0.3;-2.0;0.0798;LDPC
64;0.3;-1.5;0.0815;LDPC
64;0.3;-1.0;0.0497;LDPC
64;0.3;-0.5;0.0197;LDPC
64;0.3;0.0;0.0091;LDPC
64;0.3;0.5;0.0128;LDPC
64;0.3;1.0;0.0086;LDPC
64;0.4;1.0;0.0538;LDPC
64;0.4;1.5;0.0336;LDPC
64;0.4;2.0;0.0273;LDPC
64;0.4;2.5;0.0197;LDPC
64;0.4;3.0;0.0126;LDPC
64;0.5;1.0;0.2586;LDPC
64;0.5;1.5;0.1705;LDPC
64;0.5;2.0;0.0469;LDPC
64;0.5;2.5;0.0647;LDPC
64;0.5;3.0;0.0257;LDPC



